method_id,approach,historical_reports,scope,outcome,observable,metric,units,validation,coverage,evidence
12-short-segments-long-glrt,Short segments versus long GLRT lines,reports/2026_09_23_long_dwell_multiscale_phase.md; reports/2026_09_23_longarc_phase_reliability.md,Actual 50/75/80/100/120 ms bounded spans plus full-cohort local folds,"Short local observations exist, but the forward-half phase baseline deteriorates to near-uniform modulo-π error. Multi-second uninterrupted GLRT lines cannot be reproduced inside a 120 ms dwell.",forward modulo π,51.91144954853216,degrees RMS,local forward diagnostic; long-line extension unavailable,,frame-methods/REPORT.md
13-scanner-retune-bounded,Scanner retune-bounded tracking,tools/report_adaptive_dual_rx_phase.py; reports/2026_09_23_adaptive_retune_phase_audit.md,128 visits; 124/256 receiver arcs acquired; 86/192 evaluation arcs,"Every arc remains within its original dwell. Acquisition duration reaches 120 ms, but qualified continuous PNT phase span remains zero.",retune-bounded phase,0,qualified spans,explicit resets at unobserved support,,frame-methods/fullspan/fullspan-trackers.json
14-semi-coherent-pooling,Semi-coherent pooling,tools/report_470384_semicoherent_recovery.py; reports/2026_08_23_470384_semicoherent_recovery.md,9 development arcs: 20/50 ms 9 each; 100 ms 8 eligible,Actual semi-coherent line pooling: median even/odd frequency differences 25/0/0 Hz; rate differences 600/500/400 Hz/s. Same grid bin is not zero uncertainty; phase is a per-frame nuisance.,semi-coherent frequency,,,bounded even/odd frequency consistency; 1 late-seed 100 ms case ineligible,,frame-methods/actual-05-14-smoke.json
15-capture-reset-mechanism,Capture/reset mechanism,reports/2026_09_25_glrt_timestamp_contamination.md; reports/2026_09_23_adaptive_retune_phase_audit.md,"All 2,214 chunks / 2.6568 billion dual-RX rows","Hashes pass; zero known counter-word matches, clipped rows or repeated 100k-row blocks. Retune failures remain despite absence of this contamination signature.",capture validity,0,known contaminated rows,full recorded-data census,,capture-audit/REPORT.md
16-robust-jump-phase-gated,Robust jump and phase-gated filters,reports/2026_08_25_five_dwell_pilot_filter_prototypes.md; reports/2026_09_24_consolidated_phase_methods.md,124 cached arcs; exact V2/phase-gated comparison bounded to development states,"On matched evaluation frames, robust jump median per-arc frequency RMS 43.61 Hz versus trailing-20-ms line 47.53 Hz. Offline smoothing uses future times; this is frequency consistency, not phase continuity.",held frame CFO,43.6106654089274,Hz RMS,past even-fold fits versus current odd-fold CFO,,frame-methods/row16-root/REPORT.md
17-v3-phase-safe,V3 phase-safe tracking,tools/replay_150802_pnt_kalman_v4_canary.py; reports/2026_08_25_pnt_kalman_v3_comprehensive_review.md,14 actual V3 development spans at 75/120 ms,"10 numerical completions, 4 no-results after independent alignment; bounded acquisition ablation, not a 128-visit V3 efficacy claim.",V3 phase-safe tracking,10,numerical completions,bounded actual kernel,,frame-methods/REPORT.md
18-v4-seed-control,V4 seed/control correction,tools/replay_150802_pnt_kalman_v4_canary.py; reports/2026_08_25_150802_pnt_kalman_v4_experimental.md; reports/2026_08_25_pnt_kalman_v4_correction_plan.md,"16 development receiver cases: 8 processed, 7 not acquired, 1 short",Actual seeded V4: zero phase-qualified modes; experimental uncalibrated thresholds unchanged.,V4 phase-safe tracking,0,qualified modes,bounded actual acquisition/control kernel,,frame-methods/v4-smoke.json
19-pss-sss-carrier-phase,PSS/SSS carrier phase,reports/2026_08_25_multi_dwell_pss_sss_doppler.md; reports/2026_09_25_pss_precision_lock.md; reports/2026_09_25_pss_wideband_fractional_alignment.md,"128 visits / 256 receiver cases; independent PSS 4, conditioned 73, SSS 17",Correct physical GLRT seed improves PSS timing availability. Carrier prediction remains weak: conditioned PSS held RMS .279 cycles; independent SSS .282 cycles.,PSS/SSS carrier 2π,100.44000000000001,degrees RMS,alternating-frame carrier holdout; candidate-selected support,,sync-spectral/REPORT.md
20-pss-timing-weighting,PSS timing phase / weighting,reports/2026_09_25_dual_rx_10msps_pss_glrt.md; reports/2026_09_25_five_glrt_tracks_pss_reconstruction.md,48 evaluation receiver cases with GLRT-conditioned PSS timing,Equal-weight timing held RMS about .802 μs; score and robust weighting do not rescue carrier continuity. 125/250 ms uninterrupted windows are unavailable.,timing,0.802,μs RMS,timing and carrier are distinct observables,,sync-spectral/REPORT.md
21-dual-rx-pilot-double-difference,Dual-RX pilot double difference,reports/2026_09_21_matched_pilot_double_difference_noise_control.md; reports/2026_09_21_scan_hop_28d_matched_pilot_dd.md,42 sparse-acquired primary visits; 2 multimode evaluation visits,"Actual simultaneous-IQ two-mode DD: at 23 ms R=.584 versus shifted-RX .055, but 47/95 ms controls remain strong. Two candidate modes are not proven distinct emitters.",two-mode differential 2π,0.584,R,10 windows from only 2 visits; descriptive in-fit/control evidence,,dual-rx/method21-22-shared-residual.json
22-double-difference-window-common-frame,Double-difference window/common-frame tests,reports/2026_09_21_scan_hop_28d_simultaneous_dd_cohort.md; reports/2026_09_23_long_dwell_multiscale_protocol.md,42 sparse-acquired visits; 29 evaluation; 23/47/95 ms,"Single-pair exact/control median frame R: .884/.543, .662/.425, .555/.324. Longer windows reduce coherence; frame-center coincidence is not required for the simultaneous-IQ variant.",within-window differential 2π,,,fixed .4093 ms RX-time control; 20 ms recurrence sensitivity separate,,dual-rx/method21-22-shared-residual.json
23-response-normalized-disjoint-band,Response-normalized disjoint-band phase,src/leo/analysis/starlink/relative_phase.py; reports/2026_09_24_late_dual_rx_track_phase.md; reports/2026_09_21_full_bandwidth_rx_alignment.md,128 visits; 46 training-half acquired; 40 completed; 21 broadband-supported,"Best local held result: 26 evaluation visits have held pilot checks, median 3.42°. Only 15/96 evaluation visits pass the broadband support gate. Response normalization removes instrument/channel terms; this is not raw geometric phase.",response-normalized differential 2π,3.420191709797091,degrees RMS,train-half response and disjoint-band/held-time checks,15/96 evaluation visits supported,dual-rx/method23-dense-relative-phase-summary.json
24-direct-dual-rx-iq,Direct dual-RX IQ,reports/2026_09_21_scan_hop_28d_raw_iq_phase_audit.md; reports/2026_09_24_dual_capture_phase_random_holdout.md,46 training-half-acquired visits; 32 evaluation,Random-held R raw/CFO/CFO+rate=0.221/0.292/0.452; forward=0.216/0.288/0.259. Local correction helps reconstruction but does not establish future phase.,direct differential 2π,0.2590027318937166,R,training-only aliases/frequency/rate; zero-intercept and centered errors retained,,dual-rx/dense-direct/method24-corrected-summary.json
25-aggregate-per-bin-fft,Aggregate and per-bin FFT,reports/2026_09_21_glrt_guided_broadband_phase.md; reports/2026_09_23_matched_bandwidth_phase_results.md,46 training-half-acquired visits; 32 evaluation,Full FFT/direct Parseval error ~7.3e-17 rad. Held common-bin and phase-only results remain close to direct IQ; equivalent transforms do not add independent evidence.,FFT differential 2π,0.2546637991318037,R,training-frozen bin masks; disjoint raw supports,,sync-spectral/guarded-spectral-dense-summary.json
26-bandwidth,Bandwidth,reports/2026_09_21_full_bandwidth_rx_alignment.md; reports/2026_09_23_matched_bandwidth_phase_results.md,Same 32 acquired evaluation visits and identical guarded splits,Native 10 / derived 2.5 MS/s random-held R=0.477/0.440; forward=0.255/0.244. Narrowing bandwidth does not rescue continuity.,matched-band differential 2π,0.24393641025566162,R,"physical recentering, anti-alias filter, disjoint FIR support",,sync-spectral/guarded-spectral-dense-summary.json
27-absolute-phase-track,Absolute phase across a track,reports/2026_09_21_recent8h_long_track_phase.md; reports/2026_09_24_late_dual_rx_track_phase.md,177 touched visits; 75 retuned returns; 54 evaluation returns after CFO gate,Actual retuned-return prediction fails: R=.090 and median absolute error 76.13°. Absolute phase across a track remains unresolved; not every visit of every track was extracted.,cross-retune differential 2π,0.09,R,left-only transport across intervening target changes,,cross-dwell/REPORT.md
28-global-time-boundary-transport,Global-time adjacent-boundary transport,reports/2026_09_25_adjacent_dwell_phase_transport/REPORT.md; reports/2026_09_23_longarc_phase_transport.md; reports/2026_09_23_longarc_timing.md,99 admitted adjacent edges; 71 evaluation / 56 overlapping-edge groups,Historical joint R=.636; raw-disjoint joint=.634; left-only causal=.624. Median development-calibrated error 33.08°; shifted-RX control R=.065.,boundary differential 2π,0.6237401981245662,R,boundary-held raw support; joint and causal separated,,cross-dwell/REPORT.md
29-cross-track-replication,Cross-track replication,reports/2026_09_21_scan_hop_6ad_long_track_phase.md; reports/2026_09_22_multi_dwell_shared_track_phase.md,Evaluation CH1/CH2/CH4 edges: 33/17/21,"Causal R=.500/.648/.835 by channel. CH3 has no admitted edge. These are within-recording repetitions, not independent recording replications or named satellites.",grouped boundary differential 2π,,,shared-dwell groups retained,,cross-dwell/REPORT.md
30-phase-assisted-association,Phase-assisted association,reports/2026_09_24_phase_satellite_association.md; reports/2026_09_25_phase_assisted_satellite_association/REPORT.md,22 development and 56 evaluation edge groups; 33 TLE reviews available,Development-frozen circular pairing model beats uniform reset by 21.74 log-likelihood units on evaluation groups. This supports local pairing evidence; missing qualified baseline/phase reference prevents geometric identification or TLE reranking.,conditional pairing evidence,21.74,log-likelihood units,not a calibrated posterior or identity probability,,cross-dwell/REPORT.md
